_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
67078d8c3b43e6c05dbce663,,70.49,95.15,70.49,64.14,156;0;0;0,words,25,-1,0,26.56,0,0,false,false,indonesian,,normal,false,false,false,,1728548236000
67078d6c3b43e6c05dbce4fb,,74.31,96.25,74.31,67.6,153;0;0;0,words,25,-1,0,24.71,0,0,false,false,indonesian,,normal,false,false,false,,1728548204000
67078d4c3b43e6c05dbce398,,73.18,91.94,73.18,66.33,57;0;0;0,words,10,-1,1,9.35,0,1.92,false,false,indonesian,,normal,false,false,false,,1728548172000
67078d3d3b43e6c05dbce303,,69.65,90.32,69.65,58.72,55;0;0;0,words,10,-1,0,9.48,0,0,false,false,indonesian,,normal,false,false,false,,1728548157000
67078d323b43e6c05dbce285,,52.84,89.04,52.84,61.04,61;0;0;0,words,10,-1,2,13.85,0,2.85,false,false,indonesian,,normal,false,false,false,,1728548146000
6701832e3b43e6c05d7909bd,true,69.53,94.09,69.53,67.31,649;0;0;0,words,100,-1,1,112.01,0,2.21,false,false,indonesian,,normal,false,false,false,,1728152366000
670182a43b43e6c05d79042d,,62.79,92.84,64.59,63.07,314;2;0;0,time,60,-1,1,60.01,0,1.15,false,false,indonesian,,normal,false,false,false,,1728152228000
67016c0c3b43e6c05d780566,,78.38,96.23,83.98,79.03,98;1;1;0,time,15,-1,1,15,0,0.63,false,false,indonesian,,normal,false,false,false,,1728146444000
67016bfa3b43e6c05d780474,,68.78,93.55,68.78,63.61,86;0;0;0,time,15,-1,0,15,0,0,false,false,indonesian,,normal,false,false,false,,1728146426000
67016be93b43e6c05d780395,,62.34,92.13,67.13,65.49,78;1;0;1,time,15,-1,1,15.02,0,1.9,false,false,indonesian,,normal,false,false,false,,1728146409000
67016bd63b43e6c05d78029c,,68.75,96.88,68.75,75.93,86;0;0;0,time,15,-1,1,15.01,0,1.74,false,false,indonesian,,normal,false,false,false,,1728146390000
66fcf3e13b43e6c05d434434,,64.79,90.72,74.39,73,81;3;0;0,time,15,-1,0,15,0,0,false,false,indonesian,,normal,false,false,false,,1727853537000
66fcf3d13b43e6c05d434371,,69.6,93.55,69.6,75.58,87;0;0;0,time,15,-1,1,15,0,3.32,false,false,indonesian,,normal,false,false,false,,1727853521000
66fcf3bc3b43e6c05d43429c,,43.99,85.71,47.19,59.62,55;1;0;0,time,15,-1,1,15,0,2.55,false,false,indonesian,,normal,false,false,false,,1727853500000
66fcedfe3b43e6c05d430283,,83.93,99.06,83.93,78.4,105;0;0;0,time,15,-1,0,15.01,0,0,false,false,indonesian,,normal,false,false,false,,1727852030000
66fcedec3b43e6c05d4301ac,,56.77,89.47,63.97,68.08,71;0;1;0,time,15,-1,0,15.01,0,0,false,false,indonesian,,normal,false,false,false,,1727852012000
66daa2424b36e87ec55387d4,,68.8,93.48,68.8,65.88,86;0;0;0,time,15,-1,0,15,0,0,false,false,indonesian,,normal,false,false,false,,1725604418000
66daa2314b36e87ec5538729,,58.37,88.76,58.37,67.17,73;0;0;0,time,15,-1,0,15.01,0,0,false,false,indonesian,,normal,false,false,false,,1725604401000
66ce0c0f251883fe34d80db0,,89.58,99.12,89.58,84.77,112;0;0;0,time,15,-1,2,15,0,7.39,false,false,indonesian,,normal,false,false,false,,1724779535000
66ce0bf5251883fe34d80c47,,77.59,97,77.59,68.7,97;0;0;0,time,15,-1,0,15,0,0,false,false,indonesian,,normal,false,false,false,,1724779509000
66ce0be3251883fe34d80b4b,,63.99,91,75.19,72.8,80;2;1;0,time,15,-1,1,15,0,8.07,false,false,indonesian,,normal,false,false,false,,1724779491000
66ce0bc2251883fe34d80916,,77.57,96.19,81.57,71.43,97;0;0;1,time,15,-1,0,15.01,0,0,false,false,indonesian,,normal,false,false,false,,1724779458000
66ccb849251883fe34c9333d,,83.16,93.86,90.36,84.21,104;4;1;0,time,15,-1,3,15.01,0,6.61,false,false,indonesian,,normal,false,false,false,,1724692553000
66c8bb86251883fe34a4d656,,76.76,97.09,81.56,69.98,96;1;0;0,time,15,-1,1,15.01,0,2.32,false,false,indonesian,,normal,false,false,false,,1724431238000
66c8aa90251883fe34a3c84b,,82.35,95.65,89.55,79.42,103;2;0;1,time,15,-1,3,15.01,0,12.69,false,false,indonesian,,normal,false,false,false,,1724426896000
66c8aa71251883fe34a3c666,,86.32,94.74,86.32,72.91,108;0;0;0,time,15,-1,0,15.01,0,0,false,false,indonesian,,normal,false,false,false,,1724426865000
66c8aa5a251883fe34a3c4d6,,81.55,93.97,91.95,75.71,102;4;0;0,time,15,-1,0,15.01,0,0,false,false,indonesian,,normal,false,false,false,,1724426842000
66c8aa46251883fe34a3c3a8,,66.4,92.31,66.4,59,83;0;0;0,time,15,-1,0,15,0,0,false,false,indonesian,,normal,false,false,false,,1724426822000
66c39b8091888c3435f25889,,81.52,100,81.52,75.87,102;0;0;0,time,15,-1,0,15.02,0,0,false,false,indonesian,,normal,false,false,false,,1724095360000
66c39b6f91888c3435f257de,,77.58,95.28,83.18,68.38,97;2;0;0,time,15,-1,1,15,0,4.06,false,false,indonesian,,normal,false,false,false,,1724095343000
66c39b5791888c3435f256e7,,75.99,97.09,79.99,75.71,95;0;0;1,time,15,-1,2,15,0,1.66,false,false,indonesian,,normal,false,false,false,,1724095319000
66bec0f391888c3435c6952e,,73.56,94.85,73.56,67.15,92;0;0;0,time,15,-1,0,15.01,0,0,false,false,indonesian,,normal,false,false,false,,1723777267000
66bec0e291888c3435c694aa,,55.18,90,57.58,52.8,69;1;0;0,time,15,-1,0,15,0,0,false,false,indonesian,,normal,false,false,false,,1723777250000
66bec0d091888c3435c69417,,83.19,99.05,83.19,80.48,104;0;0;0,time,15,-1,1,15,0,3.08,false,false,indonesian,,normal,false,false,false,,1723777232000
66bebf3091888c3435c686b1,,81.56,97.14,81.56,72.9,102;0;0;0,time,15,-1,1,15.01,0,4.46,false,false,indonesian,,normal,false,false,false,,1723776816000
66bebf1a91888c3435c68603,,67.99,92.63,71.19,69.68,85;1;0;0,time,15,-1,1,15,0,0.66,false,false,indonesian,,normal,false,false,false,,1723776794000
66bebf0791888c3435c68567,,60.79,88.17,71.19,67.64,76;6;0;0,time,15,-1,1,15,0,1.62,false,false,indonesian,,normal,false,false,false,,1723776775000
